639-1 ,639-2/T ,639-2/B ,Language name ,Native name 
ie ,ile ,ile ,Interlingue ,Originally called Occidental; then Interlingue after WWII 
ig ,ibo ,ibo ,Igbo ,Asụsụ Igbo 
ii ,iii ,iii ,Nuosu ,ꆈꌠ꒿ Nuosuhxop 
ik ,ipk ,ipk ,Inupiaq ,"Iñupiaq, Iñupiatun "
io ,ido ,ido ,Ido ,Ido 
is ,isl ,ice ,Icelandic ,Íslenska 
it ,ita ,ita ,Italian ,italiano 
iu ,iku ,iku ,Inuktitut ,ᐃᓄᒃᑎᑐᑦ 
ja ,jpn ,jpn ,Japanese ,日本語 (にほんご) 
jv ,jav ,jav ,Javanese ,basa Jawa 
ka ,kat ,geo ,Georgian ,ქართული 
kg ,kon ,kon ,Kongo ,KiKongo 
ki ,kik ,kik ,"Kikuyu, Gikuyu ",Gĩkũyũ 
kj ,kua ,kua ,"Kwanyama, Kuanyama ",Kuanyama 
kk ,kaz ,kaz ,Kazakh ,қазақ тілі 
kl ,kal ,kal ,"Kalaallisut, Greenlandic ","kalaallisut, kalaallit oqaasii "
km ,khm ,khm ,Khmer ,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ "
kn ,kan ,kan ,Kannada ,ಕನ್ನಡ 
ko ,kor ,kor ,Korean ,"한국어 (韓國語), 조선어 (朝鮮語) "
kr ,kau ,kau ,Kanuri ,Kanuri 
ks ,kas ,kas ,Kashmiri ,"कश्मीरी, كشميري‎ "
ku ,kur ,kur ,Kurdish ,"Kurdî, كوردی‎ "
kv ,kom ,kom ,Komi ,коми кыв 
kw ,cor ,cor ,Cornish ,Kernewek 
ky ,kir ,kir ,Kyrgyz ,"Кыргызча, Кыргыз тили "
la ,lat ,lat ,Latin ,"latine, lingua latina "
lb ,ltz ,ltz ,"Luxembourgish, Letzeburgesch ",Lëtzebuergesch 
lg ,lug ,lug ,Ganda ,Luganda 
li ,lim ,lim ,"Limburgish, Limburgan, Limburger ",Limburgs 
ln ,lin ,lin ,Lingala ,Lingála 
lo ,lao ,lao ,Lao ,ພາສາລາວ 
lt ,lit ,lit ,Lithuanian ,lietuvių kalba 
lu ,lub ,lub ,Luba-Katanga ,Tshiluba 
lv ,lav ,lav ,Latvian ,latviešu valoda 
mg ,mlg ,mlg ,Malagasy ,fiteny malagasy 
mh ,mah ,mah ,Marshallese ,Kajin M̧ajeļ 
mi ,mri ,mao ,Māori ,te reo Māori 
mk ,mkd ,mac ,Macedonian ,македонски јазик 
ml ,mal ,mal ,Malayalam ,മലയാളം 
mn ,mon ,mon ,Mongolian ,монгол 
mr ,mar ,mar ,Marathi (Marāṭhī) ,मराठी 
ms ,msa ,may ,Malay ,"bahasa Melayu, بهاس ملايو‎ "
mt ,mlt ,mlt ,Maltese ,Malti 
my ,mya ,bur ,Burmese ,ဗမာစာ 
na ,nau ,nau ,Nauru ,Ekakairũ Naoero 
nb ,nob ,nob ,Norwegian Bokmål ,Norsk bokmål 
nd ,nde ,nde ,North Ndebele ,isiNdebele 
ne ,nep ,nep ,Nepali ,नेपाली 
ng ,ndo ,ndo ,Ndonga ,Owambo 
nl ,nld ,dut ,Dutch ,"Nederlands, Vlaams "
nn ,nno ,nno ,Norwegian Nynorsk ,Norsk nynorsk 
no ,nor ,nor ,Norwegian ,Norsk 
nr ,nbl ,nbl ,South Ndebele ,isiNdebele 
nv ,nav ,nav ,"Navajo, Navaho ","Diné bizaad, Dinékʼehǰí "
ny ,nya ,nya ,Chichewa; Chewa; Nyanja ,"chiCheŵa, chinyanja "
oc ,oci ,oci ,Occitan ,"occitan, lenga d'òc "
oj ,oji ,oji ,"Ojibwe, Ojibwa ",ᐊᓂᔑᓈᐯᒧᐎᓐ 
om ,orm ,orm ,Oromo ,Afaan Oromoo 
or ,ori ,ori ,Oriya ,ଓଡ଼ିଆ 
os ,oss ,oss ,"Ossetian, Ossetic ",ирон æвзаг 
pa ,pan ,pan ,"Panjabi, Punjabi ","ਪੰਜਾਬੀ, پنجابی‎ "
pi ,pli ,pli ,Pāli ,पाऴि 
pl ,pol ,pol ,Polish ,"język polski, polszczyzna "
ps ,pus ,pus ,"Pashto, Pushto ",پښتو 
pt ,por ,por ,Portuguese ,português 
qu ,que ,que ,Quechua ,"Runa Simi, Kichwa "
rm ,roh ,roh ,Romansh ,rumantsch grischun 
rn ,run ,run ,Kirundi ,Ikirundi 
ro ,ron ,rum ,Romanian ,limba română 
ru ,rus ,rus ,Russian ,русский язык 
rw ,kin ,kin ,Kinyarwanda ,Ikinyarwanda 
sa ,san ,san ,Sanskrit (Saṁskṛta) ,संस्कृतम् 
sc ,srd ,srd ,Sardinian ,sardu 
sd ,snd ,snd ,Sindhi ,"सिन्धी, سنڌي، سندھی‎ "
se ,sme ,sme ,Northern Sami ,Davvisámegiella 
sg ,sag ,sag ,Sango ,yângâ tî sängö 
si ,sin ,sin ,"Sinhala, Sinhalese ",සිංහල 
sk ,slk ,slo ,Slovak ,"slovenčina, slovenský jazyk "
sl ,slv ,slv ,Slovene ,"slovenski jezik, slovenščina "
sm ,smo ,smo ,Samoan ,gagana fa'a Samoa 
sn ,sna ,sna ,Shona ,chiShona 
so ,som ,som ,Somali ,"Soomaaliga, af Soomaali "
sq ,sqi ,alb ,Albanian ,gjuha shqipe 
sr ,srp ,srp ,Serbian ,српски језик 
ss ,ssw ,ssw ,Swati ,SiSwati 
st ,sot ,sot ,Southern Sotho ,Sesotho 
su ,sun ,sun ,Sundanese ,Basa Sunda 
sv ,swe ,swe ,Swedish ,Svenska 
sw ,swa ,swa ,Swahili ,Kiswahili 
ta ,tam ,tam ,Tamil ,தமிழ் 
te ,tel ,tel ,Telugu ,తెలుగు 
tg ,tgk ,tgk ,Tajik ,"тоҷикӣ, toğikī, تاجیکی‎ "
th ,tha ,tha ,Thai ,ไทย 
ti ,tir ,tir ,Tigrinya ,ትግርኛ 
tk ,tuk ,tuk ,Turkmen ,"Türkmen, Түркмен "
tl ,tgl ,tgl ,Tagalog ,"Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔ "
tn ,tsn ,tsn ,Tswana ,Setswana 
to ,ton ,ton ,Tonga (Tonga Islands) ,faka Tonga 
tr ,tur ,tur ,Turkish ,Türkçe 
ts ,tso ,tso ,Tsonga ,Xitsonga 
tt ,tat ,tat ,Tatar ,"татар теле, tatar tele "
tw ,twi ,twi ,Twi ,Twi 
ty ,tah ,tah ,Tahitian ,Reo Tahiti 
ug ,uig ,uig ,"Uyghur, Uighur ","Uyƣurqə, ئۇيغۇرچە‎ "
uk ,ukr ,ukr ,Ukrainian ,українська мова 
ur ,urd ,urd ,Urdu ,اردو 
uz ,uzb ,uzb ,Uzbek ,"O‘zbek, Ўзбек, أۇزبېك‎ "
ve ,ven ,ven ,Venda ,Tshivenḓa 
vi ,vie ,vie ,Vietnamese ,Tiếng Việt 
vo ,vol ,vol ,Volapük ,Volapük 
wa ,wln ,wln ,Walloon ,walon 
wo ,wol ,wol ,Wolof ,Wollof 
xh ,xho ,xho ,Xhosa ,isiXhosa 
yi ,yid ,yid ,Yiddish ,ייִדיש 
yo ,yor ,yor ,Yoruba ,Yorùbá 
za ,zha ,zha ,"Zhuang, Chuang ","Saɯ cueŋƅ, Saw cuengh "
zh ,zho ,chi ,Chinese ,"中文 (Zhōngwén), 汉语, 漢語 "
zu ,zul ,zul ,Zulu ,isiZulu 
